,relevance,disagree
627-Justice,Irrelevant,False
627-Morale,Irrelevant,False
627-Sagesse Pratique,Irrelevant,False
628-Justice,Relevant,False
628-Morale,Relevant,False
628-Sagesse Pratique,Relevant,False
629-Justice,Irrelevant,False
629-Morale,Relevant,False
629-Sagesse Pratique,Irrelevant,False
630-Justice,Relevant,False
630-Morale,Irrelevant,False
630-Sagesse Pratique,Irrelevant,False
631-Justice,Irrelevant,False
631-Morale,Irrelevant,False
631-Sagesse Pratique,Irrelevant,False
633-Justice,Relevant,False
633-Morale,Irrelevant,False
633-Sagesse Pratique,Irrelevant,False
634-Justice,Relevant,False
634-Morale,Irrelevant,False
634-Sagesse Pratique,Irrelevant,False
635-Justice,Relevant,False
635-Morale,Relevant,False
635-Sagesse Pratique,Relevant,False
636-Justice,Irrelevant,False
636-Morale,Relevant,False
636-Sagesse Pratique,Relevant,False
637-Justice,Relevant,False
637-Morale,Irrelevant,False
637-Sagesse Pratique,Irrelevant,False
639-Justice,Irrelevant,False
639-Morale,Relevant,False
639-Sagesse Pratique,Irrelevant,False
640-Justice,Irrelevant,False
640-Morale,Irrelevant,False
640-Sagesse Pratique,Irrelevant,False
641-Justice,Irrelevant,False
641-Morale,Irrelevant,False
641-Sagesse Pratique,Irrelevant,False
642-Justice,Irrelevant,False
642-Morale,Relevant,False
642-Sagesse Pratique,Irrelevant,False
643-Justice,Relevant,False
643-Morale,Irrelevant,False
643-Sagesse Pratique,Irrelevant,False
644-Justice,Irrelevant,False
644-Morale,Irrelevant,False
644-Sagesse Pratique,Irrelevant,False
645-Justice,Irrelevant,False
645-Morale,Irrelevant,False
645-Sagesse Pratique,Irrelevant,False
646-Justice,Irrelevant,False
646-Morale,Irrelevant,False
646-Sagesse Pratique,Irrelevant,False
648-Justice,Relevant,False
648-Morale,Irrelevant,False
648-Sagesse Pratique,Irrelevant,False
649-Justice,Irrelevant,False
649-Morale,Irrelevant,False
649-Sagesse Pratique,Irrelevant,False
650-Justice,Irrelevant,False
650-Morale,Irrelevant,False
650-Sagesse Pratique,Irrelevant,False
651-Justice,Irrelevant,False
651-Morale,Irrelevant,False
651-Sagesse Pratique,Relevant,False
652-Justice,Irrelevant,False
652-Morale,Relevant,False
652-Sagesse Pratique,Irrelevant,False
653-Justice,Irrelevant,False
653-Morale,Irrelevant,False
653-Sagesse Pratique,Irrelevant,False
654-Justice,Relevant,False
654-Morale,Irrelevant,False
654-Sagesse Pratique,Irrelevant,False
655-Justice,Relevant,False
655-Morale,Irrelevant,False
655-Sagesse Pratique,Irrelevant,False
657-Justice,Irrelevant,False
657-Morale,Irrelevant,False
657-Sagesse Pratique,Irrelevant,False
658-Justice,Relevant,False
658-Morale,Relevant,False
658-Sagesse Pratique,Relevant,False
659-Justice,Relevant,False
659-Morale,Relevant,False
659-Sagesse Pratique,Relevant,False
660-Justice,Irrelevant,False
660-Morale,Relevant,False
660-Sagesse Pratique,Relevant,False
661-Justice,Irrelevant,False
661-Morale,Relevant,False
661-Sagesse Pratique,Irrelevant,False
662-Justice,Irrelevant,False
662-Morale,Irrelevant,False
662-Sagesse Pratique,Irrelevant,False
663-Justice,Irrelevant,False
663-Morale,Relevant,False
663-Sagesse Pratique,Irrelevant,False
664-Justice,Irrelevant,False
664-Morale,Relevant,False
664-Sagesse Pratique,Irrelevant,False
665-Justice,Irrelevant,False
665-Morale,Irrelevant,False
665-Sagesse Pratique,Irrelevant,False
666-Justice,Irrelevant,False
666-Morale,Irrelevant,False
666-Sagesse Pratique,Irrelevant,False
667-Justice,Irrelevant,False
667-Morale,Relevant,False
667-Sagesse Pratique,Irrelevant,False
668-Justice,Irrelevant,False
668-Morale,Irrelevant,False
668-Sagesse Pratique,Irrelevant,False
669-Justice,Relevant,False
669-Morale,Relevant,False
669-Sagesse Pratique,Irrelevant,False
670-Justice,Irrelevant,False
670-Morale,Relevant,False
670-Sagesse Pratique,Irrelevant,False
671-Justice,Irrelevant,False
671-Morale,Irrelevant,False
671-Sagesse Pratique,Irrelevant,False
672-Justice,Irrelevant,False
672-Morale,Irrelevant,False
672-Sagesse Pratique,Relevant,False
673-Justice,Irrelevant,False
673-Morale,Irrelevant,False
673-Sagesse Pratique,Irrelevant,False
674-Justice,Irrelevant,False
674-Morale,Relevant,False
674-Sagesse Pratique,Irrelevant,False
675-Justice,Irrelevant,False
675-Morale,Irrelevant,False
675-Sagesse Pratique,Relevant,False
677-Justice,Irrelevant,False
677-Morale,Relevant,False
677-Sagesse Pratique,Relevant,False
678-Justice,Irrelevant,False
678-Morale,Relevant,False
678-Sagesse Pratique,Irrelevant,False
679-Justice,Irrelevant,False
679-Morale,Relevant,False
679-Sagesse Pratique,Irrelevant,False
680-Justice,Irrelevant,False
680-Morale,Relevant,False
680-Sagesse Pratique,Relevant,False
681-Justice,Irrelevant,False
681-Morale,Relevant,False
681-Sagesse Pratique,Relevant,False
682-Justice,Irrelevant,False
682-Morale,Irrelevant,False
682-Sagesse Pratique,Irrelevant,False
683-Justice,Relevant,False
683-Morale,Relevant,False
683-Sagesse Pratique,Irrelevant,False
684-Justice,Relevant,False
684-Morale,Irrelevant,False
684-Sagesse Pratique,Irrelevant,False
685-Justice,Relevant,False
685-Morale,Irrelevant,False
685-Sagesse Pratique,Irrelevant,False
686-Justice,Irrelevant,False
686-Morale,Relevant,False
686-Sagesse Pratique,Irrelevant,False
687-Justice,Irrelevant,False
687-Morale,Relevant,False
687-Sagesse Pratique,Irrelevant,False
688-Justice,Relevant,False
688-Morale,Relevant,False
688-Sagesse Pratique,Irrelevant,False
689-Justice,Relevant,False
689-Morale,Relevant,False
689-Sagesse Pratique,Irrelevant,False
690-Justice,Irrelevant,False
690-Morale,Irrelevant,False
690-Sagesse Pratique,Irrelevant,False
691-Justice,Irrelevant,False
691-Morale,Irrelevant,False
691-Sagesse Pratique,Irrelevant,False
692-Justice,Relevant,False
692-Morale,Relevant,False
692-Sagesse Pratique,Irrelevant,False
693-Justice,Irrelevant,False
693-Morale,Relevant,False
693-Sagesse Pratique,Irrelevant,False
694-Justice,Irrelevant,False
694-Morale,Irrelevant,False
694-Sagesse Pratique,Irrelevant,False
696-Justice,Irrelevant,False
696-Morale,Irrelevant,False
696-Sagesse Pratique,Irrelevant,False
697-Justice,Irrelevant,False
697-Morale,Relevant,False
697-Sagesse Pratique,Irrelevant,False
698-Justice,Irrelevant,False
698-Morale,Relevant,False
698-Sagesse Pratique,Irrelevant,False
699-Justice,Irrelevant,False
699-Morale,Irrelevant,False
699-Sagesse Pratique,Irrelevant,False
700-Justice,Irrelevant,False
700-Morale,Irrelevant,False
700-Sagesse Pratique,Relevant,False
701-Justice,Irrelevant,False
701-Morale,Irrelevant,False
701-Sagesse Pratique,Irrelevant,False
703-Justice,Irrelevant,False
703-Morale,Relevant,False
703-Sagesse Pratique,Irrelevant,False
704-Justice,Irrelevant,False
704-Morale,Relevant,False
704-Sagesse Pratique,Irrelevant,False
705-Justice,Irrelevant,False
705-Morale,Relevant,False
705-Sagesse Pratique,Irrelevant,False
706-Justice,Relevant,False
706-Morale,Irrelevant,False
706-Sagesse Pratique,Irrelevant,False
707-Justice,Irrelevant,False
707-Morale,Relevant,False
707-Sagesse Pratique,Irrelevant,False
708-Justice,Irrelevant,False
708-Morale,Relevant,False
708-Sagesse Pratique,Irrelevant,False
709-Justice,Irrelevant,False
709-Morale,Irrelevant,False
709-Sagesse Pratique,Irrelevant,False
710-Justice,Relevant,False
710-Morale,Irrelevant,False
710-Sagesse Pratique,Irrelevant,False
711-Justice,Irrelevant,False
711-Morale,Relevant,False
711-Sagesse Pratique,Irrelevant,False
712-Justice,Relevant,False
712-Morale,Irrelevant,False
712-Sagesse Pratique,Irrelevant,False
713-Justice,Relevant,False
713-Morale,Relevant,False
713-Sagesse Pratique,Irrelevant,False
714-Justice,Irrelevant,False
714-Morale,Irrelevant,False
714-Sagesse Pratique,Irrelevant,False
715-Justice,Irrelevant,False
715-Morale,Irrelevant,False
715-Sagesse Pratique,Irrelevant,False
716-Justice,Irrelevant,False
716-Morale,Irrelevant,False
716-Sagesse Pratique,Irrelevant,False
717-Justice,Irrelevant,False
717-Morale,Irrelevant,False
717-Sagesse Pratique,Irrelevant,False
718-Justice,Irrelevant,False
718-Morale,Irrelevant,False
718-Sagesse Pratique,Irrelevant,False
719-Justice,Relevant,False
719-Morale,Relevant,False
719-Sagesse Pratique,Irrelevant,False
720-Justice,Irrelevant,False
720-Morale,Irrelevant,False
720-Sagesse Pratique,Relevant,False
721-Justice,Irrelevant,False
721-Morale,Irrelevant,False
721-Sagesse Pratique,Irrelevant,False
722-Justice,Irrelevant,False
722-Morale,Irrelevant,False
722-Sagesse Pratique,Irrelevant,False
724-Justice,Irrelevant,False
724-Morale,Irrelevant,False
724-Sagesse Pratique,Relevant,False
725-Justice,Irrelevant,False
725-Morale,Irrelevant,False
725-Sagesse Pratique,Irrelevant,False
726-Justice,Irrelevant,False
726-Morale,Irrelevant,False
726-Sagesse Pratique,Irrelevant,False
727-Justice,Relevant,False
727-Morale,Irrelevant,False
727-Sagesse Pratique,Irrelevant,False
728-Justice,Relevant,False
728-Morale,Irrelevant,False
728-Sagesse Pratique,Relevant,False
729-Justice,Irrelevant,False
729-Morale,Relevant,False
729-Sagesse Pratique,Relevant,False
730-Justice,Irrelevant,False
730-Morale,Irrelevant,False
730-Sagesse Pratique,Irrelevant,False
731-Justice,Irrelevant,False
731-Morale,Irrelevant,False
731-Sagesse Pratique,Irrelevant,False
732-Justice,Relevant,False
732-Morale,Relevant,False
732-Sagesse Pratique,Relevant,False
733-Justice,Irrelevant,False
733-Morale,Irrelevant,False
733-Sagesse Pratique,Irrelevant,False
735-Justice,Irrelevant,False
735-Morale,Relevant,False
735-Sagesse Pratique,Irrelevant,False
736-Justice,Irrelevant,False
736-Morale,Relevant,False
736-Sagesse Pratique,Irrelevant,False
737-Justice,Irrelevant,False
737-Morale,Relevant,False
737-Sagesse Pratique,Irrelevant,False
738-Justice,Irrelevant,False
738-Morale,Relevant,False
738-Sagesse Pratique,Irrelevant,False
739-Justice,Irrelevant,False
739-Morale,Irrelevant,False
739-Sagesse Pratique,Irrelevant,False
740-Justice,Relevant,False
740-Morale,Relevant,False
740-Sagesse Pratique,Irrelevant,False
741-Justice,Relevant,False
741-Morale,Relevant,False
741-Sagesse Pratique,Irrelevant,False
742-Justice,Relevant,False
742-Morale,Irrelevant,False
742-Sagesse Pratique,Irrelevant,False
743-Justice,Irrelevant,False
743-Morale,Irrelevant,False
743-Sagesse Pratique,Irrelevant,False
744-Justice,Relevant,False
744-Morale,Irrelevant,False
744-Sagesse Pratique,Irrelevant,False
